pipe:4, 9

167.848 2.415 -12.374
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
179.924 179.987 179.944
179.926 179.995 179.933
179.922 -179.991 179.921
179.917 179.993 179.925
179.915 -179.993 179.923
179.911 -179.993 179.939
179.91 179.99 179.964
179.912 -179.99 179.982
179.918 -179.983 179.987
179.927 -179.959 179.982
179.943 -179.966 179.953
179.933 -179.95 179.938
179.921 -179.934 179.974
179.913 -179.927 179.961
179.911 -179.923 179.966
179.902 -179.914 179.954
179.913 -179.934 179.929
179.921 -179.937 179.906
179.918 -179.96 179.893
179.906 -179.986 179.9
179.894 -179.976 179.933
179.891 -179.965 179.939
179.891 -179.974 179.947
sumTime,angle,sumTime,angleCorrectionPower: , 6100.01 ,  -2.205 , 6100.01 , -4.51584 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6108.86 ,  -1.145 , 6108.86 , -2.34497 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6118.45 ,  -1.145 , 6118.45 , -2.34497 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6127.83 ,  0.476 , 6127.83 , 0.974848 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6136.91 ,  1.564 , 6136.91 , 3.20307 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6146.14 ,  1.564 , 6146.14 , 3.20307 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6154.72 ,  2.484 , 6154.72 , 5.08723 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6163.53 ,  3.206 , 6163.53 , 6.56589 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6172.34 ,  3.206 , 6172.34 , 6.56589 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6181.02 ,  2.15 , 6181.02 , 4.4032 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6189.96 ,  2.017 , 6189.96 , 4.13082 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6198.83 ,  1.182 , 6198.83 , 2.42074 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6207.7 ,  1.182 , 6207.7 , 2.42074 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6216.48 ,  0.803 , 6216.48 , 1.64454 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6225.74 ,  -0.955002 , 6225.74 , -1.95584 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6242.04 ,  -2.00101 , 6242.04 , -4.09806 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6259.1 ,  -2.791 , 6259.1 , -5.71597 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
