pipe:4, 9

169.347 2.178 -12.323
169.354 2.194 -12.337
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
179.928 179.974 179.959
179.924 179.974 179.967
179.926 179.966 179.948
179.914 179.968 179.95
179.907 179.948 179.929
179.92 179.93 179.906
179.906 179.946 179.933
179.902 179.952 179.94
179.899 179.953 179.96
179.899 179.958 179.964
179.901 179.977 179.964
179.913 179.981 179.933
179.921 179.985 179.935
179.92 -179.998 179.922
179.928 -179.992 179.922
179.927 -179.992 179.932
179.925 179.985 179.954
179.925 179.996 179.95
179.917 179.999 179.957
179.909 -179.995 179.955
179.921 -179.989 179.934
179.914 -179.988 179.938
sumTime,angle,sumTime,angleCorrectionPower: , 6750.19 ,  0.565 , 6750.19 , 1.15712 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6758.89 ,  0.565 , 6758.89 , 1.15712 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6767.57 ,  -0.334 , 6767.57 , -0.684031 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6776.37 ,  -1.737 , 6776.37 , -3.55737 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6785.06 ,  -1.737 , 6785.06 , -3.55737 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6793.65 ,  -2.064 , 6793.65 , -4.22706 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6802.23 ,  -1.32899 , 6802.23 , -2.72178 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6810.79 ,  -1.32899 , 6810.79 , -2.72178 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6819.38 ,  -1.371 , 6819.38 , -2.80781 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6828.14 ,  -1.27 , 6828.14 , -2.60097 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6836.81 ,  -1.27 , 6836.81 , -2.60097 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
