Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.199 , 0.256 , 0.975 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.193 , 0.253 , 0.967 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.205 , 0.261 , 0.975 
Raw Acc: , 0.194 , -0.25 , -0.949 , Grav: , -0.208 , 0.249 , 0.968 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.192 , 0.254 , 0.973 
Raw Acc: , 0.191 , -0.25 , -0.949 , Grav: , -0.135 , 0.254 , 0.976 
Raw Acc: , 0.191 , -0.25 , -0.949 , Grav: , -0.198 , 0.254 , 0.938 
Raw Acc: , 0.192 , -0.25 , -0.949 , Grav: , -0.205 , 0.268 , 0.982 
Raw Acc: , 0.192 , -0.25 , -0.949 , Grav: , -0.202 , 0.256 , 0.968 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.213 , 0.245 , 0.973 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.191 , 0.251 , 0.976 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.197 , 0.31 , 0.964 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.204 , 0.254 , 0.989 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.198 , 0.255 , 0.99 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.201 , 0.259 , 0.959 
Raw Acc: , 0.193 , -0.251 , -0.949 , Grav: , -0.203 , 0.254 , 0.969 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.198 , 0.25 , 0.978 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.191 , 0.251 , 0.963 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.209 , 0.257 , 0.977 
Raw Acc: , 0.194 , -0.25 , -0.949 , Grav: , -0.208 , 0.261 , 0.981 
Raw Acc: , 0.194 , -0.25 , -0.949 , Grav: , -0.197 , 0.254 , 0.964 
Raw Acc: , 0.194 , -0.25 , -0.949 , Grav: , -0.196 , 0.252 , 0.971 
Raw Acc: , 0.193 , -0.249 , -0.949 , Grav: , -0.196 , 0.242 , 0.984 
Raw Acc: , 0.193 , -0.249 , -0.949 , Grav: , -0.195 , 0.249 , 0.991 
Raw Acc: , 0.193 , -0.249 , -0.949 , Grav: , -0.195 , 0.251 , 0.972 
Raw Acc: , 0.193 , -0.249 , -0.949 , Grav: , -0.202 , 0.261 , 0.977 
Raw Acc: , 0.193 , -0.249 , -0.949 , Grav: , -0.204 , 0.246 , 0.964 
Raw Acc: , 0.193 , -0.249 , -0.949 , Grav: , -0.195 , 0.251 , 0.975 
Raw Acc: , 0.193 , -0.248 , -0.949 , Grav: , -0.2 , 0.248 , 0.976 
Raw Acc: , 0.192 , -0.248 , -0.949 , Grav: , -0.192 , 0.256 , 0.986 
