Raw Acc: , 0.2 , -0.336 , -0.92 , Grav: , -0.207 , 0.337 , 0.955 
Raw Acc: , 0.2 , -0.336 , -0.92 , Grav: , -0.211 , 0.333 , 0.946 
Raw Acc: , 0.201 , -0.336 , -0.92 , Grav: , -0.2 , 0.326 , 0.88 
Raw Acc: , 0.202 , -0.336 , -0.92 , Grav: , -0.222 , 0.338 , 0.932 
Raw Acc: , 0.202 , -0.336 , -0.92 , Grav: , -0.213 , 0.328 , 0.946 
Raw Acc: , 0.201 , -0.335 , -0.92 , Grav: , -0.204 , 0.33 , 0.958 
Raw Acc: , 0.202 , -0.334 , -0.921 , Grav: , -0.213 , 0.331 , 0.953 
Raw Acc: , 0.201 , -0.334 , -0.921 , Grav: , -0.211 , 0.337 , 0.95 
Raw Acc: , 0.201 , -0.334 , -0.921 , Grav: , -0.206 , 0.336 , 0.934 
Raw Acc: , 0.201 , -0.334 , -0.921 , Grav: , -0.206 , 0.338 , 0.936 
Raw Acc: , 0.202 , -0.333 , -0.921 , Grav: , -0.218 , 0.332 , 0.957 
Raw Acc: , 0.202 , -0.333 , -0.921 , Grav: , -0.208 , 0.34 , 0.957 
Raw Acc: , 0.202 , -0.333 , -0.921 , Grav: , -0.215 , 0.336 , 0.942 
Raw Acc: , 0.203 , -0.333 , -0.921 , Grav: , -0.228 , 0.334 , 0.953 
Raw Acc: , 0.203 , -0.332 , -0.921 , Grav: , -0.211 , 0.328 , 0.941 
Raw Acc: , 0.202 , -0.332 , -0.921 , Grav: , -0.198 , 0.341 , 0.945 
Raw Acc: , 0.202 , -0.332 , -0.921 , Grav: , -0.21 , 0.343 , 0.953 
Raw Acc: , 0.202 , -0.332 , -0.921 , Grav: , -0.206 , 0.323 , 0.953 
Raw Acc: , 0.202 , -0.332 , -0.921 , Grav: , -0.21 , 0.343 , 0.943 
Raw Acc: , 0.202 , -0.332 , -0.921 , Grav: , -0.206 , 0.332 , 0.937 
Raw Acc: , 0.202 , -0.332 , -0.921 , Grav: , -0.213 , 0.333 , 0.948 
Raw Acc: , 0.202 , -0.331 , -0.922 , Grav: , -0.198 , 0.334 , 0.945 
Raw Acc: , 0.202 , -0.331 , -0.922 , Grav: , -0.216 , 0.332 , 0.944 
Raw Acc: , 0.203 , -0.331 , -0.922 , Grav: , -0.212 , 0.33 , 0.941 
Raw Acc: , 0.203 , -0.331 , -0.921 , Grav: , -0.217 , 0.34 , 0.941 
Raw Acc: , 0.203 , -0.331 , -0.921 , Grav: , -0.21 , 0.339 , 0.936 
Raw Acc: , 0.203 , -0.331 , -0.921 , Grav: , -0.214 , 0.331 , 0.932 
Raw Acc: , 0.203 , -0.33 , -0.922 , Grav: , -0.216 , 0.326 , 0.956 
Raw Acc: , 0.203 , -0.33 , -0.922 , Grav: , -0.21 , 0.344 , 0.964 
Raw Acc: , 0.204 , -0.33 , -0.922 , Grav: , -0.219 , 0.348 , 0.96 
Raw Acc: , 0.204 , -0.33 , -0.922 , Grav: , -0.214 , 0.33 , 0.942 
Raw Acc: , 0.203 , -0.33 , -0.922 , Grav: , -0.207 , 0.335 , 0.955 
Raw Acc: , 0.203 , -0.33 , -0.922 , Grav: , -0.208 , 0.333 , 0.966 
Raw Acc: , 0.204 , -0.33 , -0.922 , Grav: , -0.213 , 0.322 , 0.933 
Raw Acc: , 0.204 , -0.329 , -0.922 , Grav: , -0.212 , 0.338 , 0.955 
Raw Acc: , 0.204 , -0.329 , -0.922 , Grav: , -0.22 , 0.338 , 0.941 
Raw Acc: , 0.204 , -0.329 , -0.922 , Grav: , -0.214 , 0.331 , 0.95 
Raw Acc: , 0.204 , -0.329 , -0.922 , Grav: , -0.211 , 0.329 , 0.938 
Raw Acc: , 0.204 , -0.329 , -0.922 , Grav: , -0.202 , 0.342 , 0.949 
Raw Acc: , 0.204 , -0.329 , -0.922 , Grav: , -0.209 , 0.335 , 0.959 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.217 , 0.331 , 0.947 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.21 , 0.332 , 0.93 
Raw Acc: , 0.205 , -0.328 , -0.922 , Grav: , -0.214 , 0.336 , 0.95 
Raw Acc: , 0.204 , -0.328 , -0.922 , Grav: , -0.207 , 0.338 , 0.954 
